"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1998-Q4","Q4-1998","PC","Percentage","0","Units",,,10.715386080817,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1999-Q1","Q1-1999","PC","Percentage","0","Units",,,11.1566661883383,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1999-Q2","Q2-1999","PC","Percentage","0","Units",,,10.0930739636174,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1999-Q3","Q3-1999","PC","Percentage","0","Units",,,11.6742874679584,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1999-Q4","Q4-1999","PC","Percentage","0","Units",,,10.4024913806472,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2000-Q1","Q1-2000","PC","Percentage","0","Units",,,10.125817093912,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2000-Q2","Q2-2000","PC","Percentage","0","Units",,,11.6104968532356,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2000-Q3","Q3-2000","PC","Percentage","0","Units",,,8.67353495333164,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2000-Q4","Q4-2000","PC","Percentage","0","Units",,,5.90461640293088,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2001-Q1","Q1-2001","PC","Percentage","0","Units",,,0.568637484300136,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2001-Q2","Q2-2001","PC","Percentage","0","Units",,,-2.26616535564424,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2001-Q3","Q3-2001","PC","Percentage","0","Units",,,-5.0186110312658,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2001-Q4","Q4-2001","PC","Percentage","0","Units",,,-4.80106250193043,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2002-Q1","Q1-2002","PC","Percentage","0","Units",,,-1.39227835946129,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2002-Q2","Q2-2002","PC","Percentage","0","Units",,,-0.194695211960814,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2002-Q3","Q3-2002","PC","Percentage","0","Units",,,4.22763978486385,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2002-Q4","Q4-2002","PC","Percentage","0","Units",,,2.39439361495036,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2003-Q1","Q1-2003","PC","Percentage","0","Units",,,-0.951298043365682,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2003-Q2","Q2-2003","PC","Percentage","0","Units",,,-2.78780612024363,,
